Drug1,Drug2,Compatibility
Ampicillin sodium-sulbactam sodium*,Lorazepam,Not compatible
Ampicillin sodium-sulbactam sodium*,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium-sulbactam sodium*,Magnesium sulfate,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Meropenem,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium-sulbactam sodium*,Methylprednisolone sodium succinate,Not compatible
Ampicillin sodium-sulbactam sodium*,Metronidazole,Compatible
Ampicillin sodium-sulbactam sodium*,Morphine sulfate,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium-sulbactam sodium*,Ondansetron hydrochloride,Not compatible
Ampicillin sodium-sulbactam sodium*,Phenobarbital sodium,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Penicillin G sodium,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Phenytoin sodium,Not compatible
Ampicillin sodium-sulbactam sodium*,Piperacillin sodium-Tazobactam sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium-sulbactam sodium*,Potassium chloride,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ampicillin sodium-sulbactam sodium*,Sodium acetate,Compatible
Ampicillin sodium-sulbactam sodium*,Sodium bicarbonate,Compatible if NaCl 0.9% used
Ampicillin sodium-sulbactam sodium*,Sulfamethoxazole-Trimethoprim,Not compatible
Ampicillin sodium-sulbactam sodium*,Vancomycin hydrochloride,Compatible if NaCl 0.9% used
Calcium chloride,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium chloride,Acyclovir,Compatible
Calcium chloride,Amikacin sulfate,Compatible
Calcium chloride,Aminophylline,Compatible
Calcium chloride,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium chloride,Ampicillin sodium,Compatible if NaCl 0.9% used
Calcium chloride,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Calcium chloride,Calcium gluconate,Compatible
Calcium chloride,Cefazolin sodium,Not compatible
Calcium chloride,Ceftazidime,Not compatible
Calcium chloride,Ceftriaxone sodium,Not compatible
Calcium chloride,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium chloride,Clindamycin phosphate,Compatible
Calcium chloride,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium chloride,Cloxacillin sodium,Compatible
Calcium chloride,Diazepam,Not compatible
Calcium chloride,Erythromycin lactobionate,Compatible
Calcium chloride,Fluconazole,Compatible
Calcium chloride,Furosemide (Frusemide),Compatible
Calcium chloride,Gentamicin sulfate,Compatible
Calcium chloride,Hydrocortisone sodium succinate,Not compatible
Calcium chloride,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium chloride,Ketamine HCl,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium chloride,Lorazepam,Compatible
Calcium chloride,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium chloride,Magnesium sulfate,Not compatible
Calcium chloride,Meropenem,Compatible
Calcium chloride,Methylprednisolone sodium succinate,Not compatible
Calcium chloride,Metronidazole,Compatible
Calcium chloride,Morphine sulfate,Compatible
Calcium chloride,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium chloride,Ondansetron hydrochloride,Compatible
Calcium chloride,Phenobarbital sodium,Compatible
Calcium chloride,Penicillin G sodium,Compatible
Calcium chloride,Phenytoin sodium,Not compatible
Calcium chloride,Piperacillin sodium-Tazobactam sodium,Compatible
Calcium chloride,Potassium chloride,Compatible
Calcium chloride,Potassium phosphates,Not compatible
Calcium chloride,Sodium acetate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium chloride,Sodium bicarbonate,Not compatible
Calcium chloride,Sulfamethoxazole-Trimethoprim,Not compatible
Calcium chloride,Vancomycin hydrochloride,Compatible
Calcium gluconate,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium gluconate,Acyclovir,Compatible
Calcium gluconate,Amikacin sulfate,Compatible
Calcium gluconate,Aminophylline,Compatible
Calcium gluconate,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium gluconate,Ampicillin sodium,Compatible if NaCl 0.9% used
Calcium gluconate,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Calcium gluconate,Calcium chloride,Compatible
Calcium gluconate,Cefazolin sodium,Compatible
Calcium gluconate,Ceftazidime,Compatible
Calcium gluconate,Ceftriaxone sodium,Not compatible
Calcium gluconate,Ciprofloxacin,Compatible
Calcium gluconate,Clindamycin phosphate,Compatible
Calcium gluconate,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium gluconate,Cloxacillin sodium,Compatible
Calcium gluconate,Diazepam,Not compatible
Calcium gluconate,Erythromycin lactobionate,Compatible
Calcium gluconate,Fluconazole,Not compatible
Calcium gluconate,Furosemide (Frusemide),Compatible
Calcium gluconate,Gentamicin sulfate,Compatible
Calcium gluconate,Hydrocortisone sodium succinate,Compatible
Calcium gluconate,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium gluconate,Ketamine HCl,Compatible
Calcium gluconate,Lorazepam,Compatible
Calcium gluconate,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium gluconate,Magnesium sulfate,Compatible
Calcium gluconate,Meropenem,Not compatible
Calcium gluconate,Methylprednisolone sodium succinate,Not compatible
Calcium gluconate,Metronidazole,Compatible
Calcium gluconate,Morphine sulfate,Compatible
Calcium gluconate,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Calcium gluconate,Ondansetron hydrochloride,Compatible
Calcium gluconate,Phenobarbital sodium,Compatible
Calcium gluconate,Penicillin G sodium,Compatible
Calcium gluconate,Phenytoin sodium,Not compatible
Calcium gluconate,Piperacillin sodium-Tazobactam sodium,Compatible
Calcium gluconate,Potassium chloride,Compatible
Calcium gluconate,Potassium phosphates,Not compatible
Calcium gluconate,Sodium acetate,Compatible
Calcium gluconate,Sodium bicarbonate,Not compatible
Calcium gluconate,Sulfamethoxazole-Trimethoprim,Not compatible
Calcium gluconate,Vancomycin hydrochloride,Compatible
Cefazolin sodium,Acetaminophen/Paracetamol,Compatible
Cefazolin sodium,Acyclovir,Compatible
Cefazolin sodium,Amikacin sulfate,Compatible
Cefazolin sodium,Aminophylline,Compatible
Cefazolin sodium,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cefazolin sodium,Ampicillin sodium,Compatible if NaCl 0.9% used
Cefazolin sodium,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Cefazolin sodium,Calcium chloride,Not compatible
Cefazolin sodium,Calcium gluconate,Compatible
Cefazolin sodium,Ceftazidime,Compatible
Cefazolin sodium,Ceftriaxone sodium,Compatible
Cefazolin sodium,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cefazolin sodium,Clindamycin phosphate,Compatible
Cefazolin sodium,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cefazolin sodium,Cloxacillin sodium,Compatible
Cefazolin sodium,Diazepam,Not compatible
Cefazolin sodium,Erythromycin lactobionate,Not compatible
Cefazolin sodium,Fluconazole,Compatible
Cefazolin sodium,Furosemide (Frusemide),Compatible
Cefazolin sodium,Gentamicin sulfate,Compatible
Cefazolin sodium,Hydrocortisone sodium succinate,Compatible
Cefazolin sodium,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cefazolin sodium,Ketamine HCl,Compatible
Cefazolin sodium,Lorazepam,Compatible
Cefazolin sodium,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cefazolin sodium,Magnesium sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cefazolin sodium,Meropenem,Compatible
Cefazolin sodium,Methylprednisolone sodium succinate,Compatible
Cefazolin sodium,Metronidazole,Compatible
Cefazolin sodium,Morphine sulfate,Compatible
Cefazolin sodium,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cefazolin sodium,Ondansetron hydrochloride,Compatible
Cefazolin sodium,Phenobarbital sodium,Compatible
Cefazolin sodium,Penicillin G sodium,Compatible
Cefazolin sodium,Phenytoin sodium,Not compatible
Cefazolin sodium,Piperacillin sodium-Tazobactam sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cefazolin sodium,Potassium chloride,Compatible
Cefazolin sodium,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cefazolin sodium,Sodium acetate,Compatible
Cefazolin sodium,Sodium bicarbonate,Compatible
Cefazolin sodium,Sulfamethoxazole-Trimethoprim,Not compatible
Cefazolin sodium,Vancomycin hydrochloride,Not compatible
Ceftazidime,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftazidime,Acyclovir,Compatible
Ceftazidime,Amikacin sulfate,Compatible
Ceftazidime,Aminophylline,Compatible
Ceftazidime,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftazidime,Ampicillin sodium,Compatible if NaCl 0.9% used
Ceftazidime,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Ceftazidime,Calcium chloride,Not compatible
Ceftazidime,Calcium gluconate,Compatible
Ceftazidime,Cefazolin sodium,Compatible
Ceftazidime,Ceftriaxone sodium,Compatible
Ceftazidime,Ciprofloxacin,Compatible
Ceftazidime,Clindamycin phosphate,Compatible
Ceftazidime,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftazidime,Cloxacillin sodium,Compatible
Ceftazidime,Diazepam,Not compatible
Ceftazidime,Erythromycin lactobionate,Not compatible
Ceftazidime,Fluconazole,Not compatible
Ceftazidime,Furosemide (Frusemide),Compatible
Ceftazidime,Gentamicin sulfate,Compatible
Ceftazidime,Hydrocortisone sodium succinate,Compatible
Ceftazidime,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftazidime,Ketamine HCl,Compatible
Ceftazidime,Lorazepam,Compatible
Ceftazidime,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftazidime,Magnesium sulfate,Compatible
Ceftazidime,Meropenem,Compatible
Ceftazidime,Methylprednisolone sodium succinate,Compatible
Ceftazidime,Metronidazole,Compatible
Ceftazidime,Morphine sulfate,Compatible
Ceftazidime,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftazidime,Ondansetron hydrochloride,Compatible
Ceftazidime,Phenobarbital sodium,Compatible
Ceftazidime,Penicillin G sodium,Compatible
Ceftazidime,Phenytoin sodium,Not compatible
Ceftazidime,Piperacillin sodium-Tazobactam sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftazidime,Potassium chloride,Compatible
Ceftazidime,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftazidime,Sodium acetate,Compatible
Ceftazidime,Sodium bicarbonate,Compatible
Ceftazidime,Sulfamethoxazole-Trimethoprim,Not compatible
Ceftazidime,Vancomycin hydrochloride,Not compatible
Ceftriaxone sodium,Acetaminophen/Paracetamol,Compatible
Ceftriaxone sodium,Acyclovir,Compatible
Ceftriaxone sodium,Amikacin sulfate,Compatible
Ceftriaxone sodium,Aminophylline,Compatible
Ceftriaxone sodium,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftriaxone sodium,Ampicillin sodium,Compatible if NaCl 0.9% used
Ceftriaxone sodium,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Ceftriaxone sodium,Calcium chloride,Not compatible
Ceftriaxone sodium,Calcium gluconate,Not compatible
Ceftriaxone sodium,Cefazolin sodium,Compatible
Ceftriaxone sodium,Ceftazidime,Compatible
Ceftriaxone sodium,Ceftriaxone sodium,NA  
Ceftriaxone sodium,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftriaxone sodium,Clindamycin phosphate,Not compatible
Ceftriaxone sodium,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftriaxone sodium,Cloxacillin sodium,Compatible
Ceftriaxone sodium,Diazepam,Not compatible
Ceftriaxone sodium,Erythromycin lactobionate,Compatible
Ceftriaxone sodium,Fluconazole,Not compatible
Ceftriaxone sodium,Furosemide (Frusemide),Compatible
Ceftriaxone sodium,Gentamicin sulfate,Compatible
Ceftriaxone sodium,Hydrocortisone sodium succinate,Compatible
Ceftriaxone sodium,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftriaxone sodium,Ketamine HCl,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftriaxone sodium,Lorazepam,Compatible
Ceftriaxone sodium,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftriaxone sodium,Magnesium sulfate,Not compatible
Ceftriaxone sodium,Meropenem,Compatible
Ceftriaxone sodium,Methylprednisolone sodium succinate,Compatible
Ceftriaxone sodium,Metronidazole,Compatible
Ceftriaxone sodium,Morphine sulfate,Compatible
Ceftriaxone sodium,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftriaxone sodium,Ondansetron hydrochloride,Compatible
Ceftriaxone sodium,Phenobarbital sodium,Compatible
Ceftriaxone sodium,Penicillin G sodium,Compatible
Ceftriaxone sodium,Phenytoin sodium,Not compatible
Ceftriaxone sodium,Piperacillin sodium-Tazobactam sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftriaxone sodium,Potassium chloride,Compatible
Ceftriaxone sodium,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ceftriaxone sodium,Sodium acetate,Compatible
Ceftriaxone sodium,Sodium bicarbonate,Compatible
Ceftriaxone sodium,Sulfamethoxazole-Trimethoprim,Not compatible
Ceftriaxone sodium,Vancomycin hydrochloride,Not compatible
Ciprofloxacin,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Acyclovir,Not compatible
Ciprofloxacin,Amikacin sulfate,Compatible
Ciprofloxacin,Aminophylline,Not compatible
Ciprofloxacin,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Ampicillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Ampicillin sodium-sulbactam sodium*,Not compatible
Ciprofloxacin,Calcium chloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Calcium gluconate,Compatible
Ciprofloxacin,Cefazolin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Ceftazidime,Compatible
Ciprofloxacin,Ceftriaxone sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Clindamycin phosphate,Not compatible
Ciprofloxacin,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Cloxacillin sodium,Not compatible
Ciprofloxacin,Diazepam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Erythromycin lactobionate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Fluconazole,Compatible
Ciprofloxacin,Furosemide (Frusemide),Not compatible
Ciprofloxacin,Gentamicin sulfate,Compatible
Ciprofloxacin,Hydrocortisone sodium succinate,Not compatible
Ciprofloxacin,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Ketamine HCl,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Lorazepam,Compatible
Ciprofloxacin,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Magnesium sulfate,Not compatible
Ciprofloxacin,Meropenem,Not compatible
Ciprofloxacin,Methylprednisolone sodium succinate,Not compatible
Ciprofloxacin,Metronidazole,Compatible
Ciprofloxacin,Morphine sulfate,Compatible if NaCl 0.9% used
Ciprofloxacin,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Ondansetron hydrochloride,Compatible
Ciprofloxacin,Phenobarbital sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Penicillin G sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Phenytoin sodium,Not compatible
Ciprofloxacin,Piperacillin sodium-Tazobactam sodium,Not compatible
Ciprofloxacin,Potassium chloride,Compatible
Ciprofloxacin,Potassium phosphates,Not compatible
Ciprofloxacin,Sodium acetate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Sodium bicarbonate,Not compatible
Ciprofloxacin,Sulfamethoxazole-Trimethoprim,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ciprofloxacin,Vancomycin hydrochloride,Compatible
Clindamycin phosphate,Acetaminophen/Paracetamol,Compatible
Clindamycin phosphate,Acyclovir,Compatible
Clindamycin phosphate,Amikacin sulfate,Compatible
Clindamycin phosphate,Aminophylline,Compatible
Clindamycin phosphate,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clindamycin phosphate,Ampicillin sodium,Compatible if NaCl 0.9% used
Clindamycin phosphate,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Clindamycin phosphate,Calcium chloride,Compatible
Clindamycin phosphate,Calcium gluconate,Compatible
Clindamycin phosphate,Cefazolin sodium,Compatible
Clindamycin phosphate,Ceftazidime,Compatible
Clindamycin phosphate,Ceftriaxone sodium,Not compatible
Clindamycin phosphate,Ciprofloxacin,Not compatible
Clindamycin phosphate,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clindamycin phosphate,Cloxacillin sodium,Compatible
Clindamycin phosphate,Diazepam,Not compatible
Clindamycin phosphate,Erythromycin lactobionate,Compatible if NaCl 0.9% used
Clindamycin phosphate,Fluconazole,Not compatible
Clindamycin phosphate,Furosemide (Frusemide),Compatible
Clindamycin phosphate,Gentamicin sulfate,Compatible
Clindamycin phosphate,Hydrocortisone sodium succinate,Compatible
Clindamycin phosphate,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clindamycin phosphate,Ketamine HCl,Compatible
Clindamycin phosphate,Lorazepam,Compatible
Clindamycin phosphate,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clindamycin phosphate,Magnesium sulfate,Compatible
Clindamycin phosphate,Meropenem,Compatible
Clindamycin phosphate,Methylprednisolone sodium succinate,Compatible
Clindamycin phosphate,Metronidazole,Compatible
Clindamycin phosphate,Morphine sulfate,Compatible
Clindamycin phosphate,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clindamycin phosphate,Ondansetron hydrochloride,Compatible
Clindamycin phosphate,Phenobarbital sodium,Compatible
Clindamycin phosphate,Penicillin G sodium,Compatible
Clindamycin phosphate,Phenytoin sodium,Not compatible
Clindamycin phosphate,Piperacillin sodium-Tazobactam sodium,Compatible
Clindamycin phosphate,Potassium chloride,Compatible
Clindamycin phosphate,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clindamycin phosphate,Sodium acetate,Compatible
Clindamycin phosphate,Sodium bicarbonate,Compatible
Clindamycin phosphate,Sulfamethoxazole-Trimethoprim,Not compatible
Clindamycin phosphate,Vancomycin hydrochloride,Compatible
Clonidine hydrocloride,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Acyclovir,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Amikacin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Aminophylline,Compatible
Clonidine hydrocloride,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Ampicillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Ampicillin sodium-sulbactam sodium*,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Calcium chloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Calcium gluconate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Cefazolin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Ceftazidime,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Ceftriaxone sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Clindamycin phosphate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Cloxacillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Diazepam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
